"","id","latitude","longitude","date","depth","average_bleaching","clim_sst","temperature_kelvin","temperature_mean","temperature_minimum","temperature_maximum","temperature_kelvin_standard_deviation","windspeed","ssta","ssta_standard_deviation","ssta_mean","ssta_minimum","ssta_maximum","ssta_frequency","ssta_frequency_standard_deviation","ssta_frequency_max","ssta_frequency_mean","ssta_dhw","ssta_dhw_standard_deviation","ssta_dhw_max","ssta_dhw_mean","tsa","tsa_standard_deviation","tsa_minimum","tsa_maximum","tsa_mean","tsa_frequency","tsa_frequency_standard_deviation","tsa_frequency_max","tsa_frequency_mean","tsa_dhw","tsa_dhw_standard_deviation","tsa_dhw_max","tsa_dhw_mean","index","mean_airt_1","mean_atmp","mean_rad_par_1","mean_sw_1"
"79","534","-27.41908333","153.2416111","3/11/2017",2,37.5,295.93,299.52,295.82,289.23,305.77,3.1,5,0.59,0.98,0,-3.307777778,5.86,13,5.05,23,6,4.5,4.18,38.75,2.49,-0.4,3.1,-10.68,5.84,-4.09,2,1.81,7,1,3.22,1.81,13.94,0.6,85,16.72585,1014.49153,691.1185,313.635
"80","536","-27.41822222","153.2350278","12/16/2017",3,37.5,299.91,299.38,295.82,289.23,305.77,3.1,6,0.48,0.98,0,-3.307777778,5.86,9,5.05,23,6,8.82,4.18,38.75,2.49,-0.53,3.1,-10.68,5.84,-4.09,2,1.81,7,1,0,1.81,13.94,0.6,86,17.5443,1015.834375,754.326985,361.0225
"81","537","-27.41430556","153.5261111","10/9/2016",5,10,297.26,295.6,296.8,291.54,302.69,2.18,7,0.45,0.8,0,-3.56125,3.02,12,4.48,22,4,1.22,2.34,12.62,1.6,-4.08,2.18,-8.13,3,-2.87,3,1.38,5,0,0,1.05,7.27,0.33,87,18.91,1019.50877,0,-2.097
"82","539","-27.41430556","153.5261111","9/10/2017",5,1.75,295.89,294.6,296.8,291.54,302.69,2.18,7,0.39,0.8,0,-3.56125,3.02,10,4.48,22,4,7.72,2.34,12.62,1.6,-5.08,2.18,-8.13,3,-2.87,2,1.38,5,0,0,1.05,7.27,0.33,88,18.91,1019.50877,0,-2.097
"83","540","-27.41419444","153.5263889","10/9/2016",5,9.25,297.26,295.6,296.8,291.54,302.69,2.18,7,0.45,0.8,0,-3.56125,3.02,12,4.48,22,4,1.22,2.34,12.62,1.6,-4.08,2.18,-8.13,3,-2.87,3,1.38,5,0,0,1.05,7.27,0.33,89,18.91,1019.50877,0,-2.097
"84","542","-27.41419444","153.5263889","9/10/2017",6,0,295.89,294.6,296.8,291.54,302.69,2.18,7,0.39,0.8,0,-3.56125,3.02,10,4.48,22,4,7.72,2.34,12.62,1.6,-5.08,2.18,-8.13,3,-2.87,2,1.38,5,0,0,1.05,7.27,0.33,90,18.91,1019.50877,0,-2.097
"85","544","-27.40069444","153.4373333","9/17/2016",2,1.25,296.04,293.82,296.31,290.3,302.48,2.55,6,0.05,1.01,0,-3.274285714,3.9,16,4.89,24,8,7.09,3.28,17.93,2.88,-5.84,2.55,-9.35,2.81,-3.34,2,1.84,7,1,0,1.64,10.84,0.6,91,19.035,1018.62139,0,-1.599
"86","545","-27.40069444","153.4373333","11/25/2017",4,12.5,299.4,296.45,296.31,290.3,302.48,2.55,6,-0.93,1.01,0,-3.274285714,3.9,14,4.89,24,8,10.23,3.28,17.93,2.88,-3.21,2.55,-9.35,2.81,-3.34,2,1.84,7,1,0,1.64,10.84,0.6,92,19.035,1018.62139,0,-1.599
"87","546","-27.39666667","153.5569444","10/8/2016",7,5.25,297.34,295.6,296.92,292.01,303.07,2.13,7,0.31,0.76,0,-3.3175,3.32,9,3.89,20,4,0,2.12,10.91,1.41,-4.15,2.13,-7.73,3.31,-2.82,1,1.41,6,1,0,1.08,7.99,0.33,93,18.93,1019.48861,0,-2.233
"88","548","-27.39666667","153.5569444","9/9/2017",9,0.5,296.01,295.63,296.92,292.01,303.07,2.13,7,1.24,0.76,0,-3.3175,3.32,8,3.89,20,4,5.62,2.12,10.91,1.41,-4.12,2.13,-7.73,3.31,-2.82,2,1.41,6,1,0,1.08,7.99,0.33,94,18.93,1019.48861,0,-2.233
"89","549","-27.39055556","153.5511111","10/8/2016",5,12.5,297.34,295.6,296.92,292.01,303.07,2.13,7,0.31,0.76,0,-3.3175,3.32,9,3.89,20,4,0,2.12,10.91,1.41,-4.15,2.13,-7.73,3.31,-2.82,1,1.41,6,1,0,1.08,7.99,0.33,95,18.96,1019.45746,0,-2.271
"90","550","-27.39055556","153.5511111","9/9/2017",6,0.75,296.01,295.63,296.92,292.01,303.07,2.13,7,1.24,0.76,0,-3.3175,3.32,8,3.89,20,4,5.62,2.12,10.91,1.41,-4.12,2.13,-7.73,3.31,-2.82,2,1.41,6,1,0,1.08,7.99,0.33,96,18.96,1019.45746,0,-2.271
"91","551","-27.34722222","153.2431667","12/17/2017",2,5,299.84,299.37,295.78,289.24,302.89,3.1,6,0.59,0.91,0,-3.421111111,3.09,11,4.66,21,6,7.18,3.22,19.15,2.21,-0.47,3.1,-10.59,3.04,-4.05,4,2.01,8,1,0,1.79,15.82,0.58,97,21.35325,1015.216155,964.23399,493.3355
"92","552","-27.34483333","153.2387778","12/17/2017",2,0.5,299.84,299.37,295.78,289.24,302.89,3.1,6,0.59,0.91,0,-3.421111111,3.09,11,4.66,21,6,7.18,3.22,19.15,2.21,-0.47,3.1,-10.59,3.04,-4.05,4,2.01,8,1,0,1.79,15.82,0.58,98,21.46825,1015.379845,939.87399,509.8015
"93","555","-26.97988889","153.4881667","11/6/2016",10,0.75,298.54,297.13,296.8,291.83,301.66,2.15,7,0.69,0.71,0,-2.7,2.83,8,3.34,18,3,0,1.87,10.26,1.21,-2.53,2.15,-7.82,2,-2.85,2,1.1,4,0,0,0.77,5.35,0.23,99,17.91,1012.40208,0,-1.909
"94","556","-26.97988889","153.4881667","11/6/2016",11,1,298.54,297.13,296.8,291.83,301.66,2.15,7,0.69,0.71,0,-2.7,2.83,8,3.34,18,3,0,1.87,10.26,1.21,-2.53,2.15,-7.82,2,-2.85,2,1.1,4,0,0,0.77,5.35,0.23,100,17.91,1012.40208,0,-1.909
"95","557","-26.97988889","153.4881667","12/20/2017",12,10,299.66,299.72,296.8,291.83,301.66,2.15,6,1.09,0.71,0,-2.7,2.83,18,3.34,18,3,10.26,1.87,10.26,1.21,0.06,2.15,-7.82,2,-2.85,2,1.1,4,0,0,0.77,5.35,0.23,101,17.91,1012.40208,0,-1.909
"96","558","-26.97769444","153.484","11/6/2016",10,0.25,298.54,297.13,296.8,291.83,301.66,2.15,7,0.69,0.71,0,-2.7,2.83,8,3.34,18,3,0,1.87,10.26,1.21,-2.53,2.15,-7.82,2,-2.85,2,1.1,4,0,0,0.77,5.35,0.23,102,17.91,1012.42308,0,-1.914
"97","560","-26.9775","153.4838889","11/6/2016",6,2.25,298.54,297.13,296.8,291.83,301.66,2.15,7,0.69,0.71,0,-2.7,2.83,8,3.34,18,3,0,1.87,10.26,1.21,-2.53,2.15,-7.82,2,-2.85,2,1.1,4,0,0,0.77,5.35,0.23,103,17.91,1012.42308,0,-1.914
"98","563","-26.80333333","153.1455556","1/22/2016",9,1.25,299.22,299.28,296.27,291.1,301.95,2.4,6,-0.01,0.72,0,-2.498333333,3.57,16,4.87,25,3,1.25,2.77,21.53,1.31,-0.21,2.4,-8.38,2.46,-3.21,0,1,3,0,0,0.71,4.17,0.21,104,20.15785,1013.88251,664.859,333.9025
"99","564","-26.80333333","153.1455556","12/3/2016",4,12.5,299.22,297.63,296.27,291.1,301.95,2.4,7,0.06,0.72,0,-2.498333333,3.57,15,4.87,25,3,0,2.77,21.53,1.31,-1.86,2.4,-8.38,2.46,-3.21,0,1,3,0,0,0.71,4.17,0.21,105,20.15785,1013.88251,664.859,333.9025
"100","565","-26.80333333","153.1455556","1/27/2017",10,0,299.03,299.85,296.27,291.1,301.95,2.4,6,0.47,0.72,0,-2.498333333,3.57,14,4.87,25,3,0,2.77,21.53,1.31,0.36,2.4,-8.38,2.46,-3.21,0,1,3,0,0,0.71,4.17,0.21,106,20.15785,1013.88251,664.859,333.9025
"101","566","-26.80333333","153.1455556","11/18/2017",8,6.5,298.84,296.81,296.27,291.1,301.95,2.4,6,0,0.72,0,-2.498333333,3.57,16,4.87,25,3,12.48,2.77,21.53,1.31,-2.68,2.4,-8.38,2.46,-3.21,0,1,3,0,0,0.71,4.17,0.21,107,20.15785,1013.88251,664.859,333.9025
